province,year,cases,prop_rural_imputed,bedspray,art
an_giang,1991,6316,0.7756,,
an_giang,1992,6433,0.7692,0.001559704,0.071293623
an_giang,1993,4213,0.7628,0.009673041,0.371612787
an_giang,1994,2187,0.7564,0.018747157,0.671931951
an_giang,1995,1017,0.787891,0.029043432,0.014792345
an_giang,1996,569,0.7903237,0.033903704,0.044681785
an_giang,1997,486,0.7711284,,0.074571225
an_giang,1998,357,0.768381,,0.315861096
an_giang,1999,186,0.7757146,,0.068023802
an_giang,2000,184,0.7954124,,0.086906513
an_giang,2001,36,0.7782844,0.027101263,0.111103382
an_giang,2002,26,0.7788344,0.008387158,0.222837181
an_giang,2003,30,0.7666416,0.0184686,0.142857143
an_giang,2004,25,0.7500932,0.012503261,0.900603313
an_giang,2005,15,0.7181232,0.011094915,0.871585957
an_giang,2006,12,0.7133729,0.008912888,0.844587672
an_giang,2007,16,0.7089185,0.014232981,0.851470529
an_giang,2008,21,0.6668,0.008082148,0.792740137
an_giang,2009,43,0.6604,0.010579203,0.734009745
an_giang,2010,37,0.654,0.01323367,0.849061302
baclieu_camau,1991,73016,0.8366,,
baclieu_camau,1992,87176,0.836,0.07621397,0.188952169
baclieu_camau,1993,78667,0.8354,0.133192729,0.152260184
baclieu_camau,1994,71824,0.8348,0.141822858,0.115568199
baclieu_camau,1995,62564,0.784261,0.203029249,0.15547091
baclieu_camau,1996,62684,0.7842098,0.189924736,0.169274452
baclieu_camau,1997,64448,0.7836583,,0.183077994
baclieu_camau,1998,35270,0.7596199,,0.333756077
baclieu_camau,1999,35889,0.767556,,0.312345565
baclieu_camau,2000,31047,0.7987174,,0.287353123
baclieu_camau,2001,21074,0.7862307,0.288076077,0.227158407
baclieu_camau,2002,11458,0.77938,0.21480379,0.518573908
baclieu_camau,2003,8808,0.774326,0.210058264,0.358257847
baclieu_camau,2004,7159,0.7787387,0.494366026,0.758164612
baclieu_camau,2005,4168,0.7744728,0.344824305,0.779118882
baclieu_camau,2006,2418,0.775856,0.448195744,0.750541911
baclieu_camau,2007,1468,0.7697583,0.498014968,0.603979279
baclieu_camau,2008,1093,0.8264,0.356087653,0.659328512
baclieu_camau,2009,831,0.8258,0.338979147,0.714677745
baclieu_camau,2010,648,0.8252,0.340335311,0.766911492
ben_tre,1991,8319,0.8628,0.007491546,
ben_tre,1992,6763,0.8673,0.018812072,0.066806124
ben_tre,1993,3956,0.8718,0.033840709,0.197264794
ben_tre,1994,5383,0.8763,0.044396664,0.327723464
ben_tre,1995,4320,0.8665323,0.042104281,0.016947189
ben_tre,1996,3278,0.8669806,0.045431657,0.088630103
ben_tre,1997,2221,0.8392985,0.044128689,0.160313017
ben_tre,1998,1246,0.8308489,0.060163062,0.210257787
ben_tre,1999,922,0.8281895,0.087166352,0.202170592
ben_tre,2000,1018,0.9164932,0.017484,0.210241057
ben_tre,2001,444,0.9026078,0.109094503,0.238715563
ben_tre,2002,231,0.9088213,0.105313308,0.25254585
ben_tre,2003,154,0.8996392,0.144159679,0.225056777
ben_tre,2004,55,0.8975739,0.116828754,0.767596988
ben_tre,2005,21,0.8951735,0.114276717,0.870296902
ben_tre,2006,36,0.8945263,0.118242628,0.920432476
ben_tre,2007,29,0.8864982,0.077935215,0.920432476
ben_tre,2008,27,0.9393,0.086480643,0.89960346
ben_tre,2009,32,0.9438,0.068271768,0.878774443
ben_tre,2010,39,0.9483,0.055577941,0.979563062
binhduong_binhphuoc,1991,22699,0.9635,0.388057869,
binhduong_binhphuoc,1992,27466,0.95,0.105559612,0.113774186
binhduong_binhphuoc,1993,28462,0.9365,0.236355325,0.111693036
binhduong_binhphuoc,1994,22420,0.923,0.777669487,0.109611886
binhduong_binhphuoc,1995,14089,0.9603923,0.421792054,0.135814573
binhduong_binhphuoc,1996,11376,0.9153953,0.424575653,0.147610695
binhduong_binhphuoc,1997,10200,0.8331197,0.378316671,0.159406817
binhduong_binhphuoc,1998,15341,0.8403882,0.429438995,0.098930878
binhduong_binhphuoc,1999,20584,0.8603815,0.480561318,0.166580996
binhduong_binhphuoc,2000,16894,0.7839416,0.456652314,0.180553974
binhduong_binhphuoc,2001,13306,0.75392,0.432743309,0.18513869
binhduong_binhphuoc,2002,10289,0.7348647,0.420607358,0.383828131
binhduong_binhphuoc,2003,9649,0.7573625,0.24752139,0.298284897
binhduong_binhphuoc,2004,6340,0.7624127,0.293972781,0.799521603
binhduong_binhphuoc,2005,3852,0.7570946,0.276876567,0.906039474
binhduong_binhphuoc,2006,4926,0.7981234,0.346208863,0.979134978
binhduong_binhphuoc,2007,3961,0.7805331,0.268947708,0.799213583
binhduong_binhphuoc,2008,3051,0.734,0.236123816,0.86763245
binhduong_binhphuoc,2009,3061,0.7205,0.204799833,0.936051317
binhduong_binhphuoc,2010,3762,0.707,0.197110494,0.936944482
BR_vtau,1991,983,0.7239,0.014255088,
BR_vtau,1992,7761,0.7128,0.085829013,0.187747764
BR_vtau,1993,4933,0.7017,0.196822926,0.186615234
BR_vtau,1994,3346,0.6906,0.217285657,0.185482704
BR_vtau,1995,2576,0.6765743,0.293243161,0.213759854
BR_vtau,1996,1524,0.6503488,0.300584573,0.208047434
BR_vtau,1997,1210,0.6616885,0.281083246,0.202335015
BR_vtau,1998,919,0.6595744,0.166647907,0.162261811
BR_vtau,1999,868,0.6414551,0.169621139,0.139166292
BR_vtau,2000,692,0.5940545,0.169188913,0.11363122
BR_vtau,2001,590,0.5707833,0.168756686,0.107460447
BR_vtau,2002,544,0.5530943,0.186286823,0.242026237
BR_vtau,2003,477,0.5674154,0.138395296,0.172890756
BR_vtau,2004,405,0.562935,0.134578621,0.628117424
BR_vtau,2005,386,0.5564954,0.142462826,0.503092936
BR_vtau,2006,353,0.5631903,0.145414339,0.378068448
BR_vtau,2007,352,0.5622817,0.11717824,0.732810894
BR_vtau,2008,327,0.5352,0.126419088,0.748499961
BR_vtau,2009,315,0.5241,0.098758959,0.764189028
BR_vtau,2010,311,0.513,0.080862036,0.764189028
cantho_haugiang_soctrang,1991,34429,0.7015,0.060568634,
cantho_haugiang_soctrang,1992,16373,0.6969,0.002642987,0.055448386
cantho_haugiang_soctrang,1993,17806,0.6923,0.035378989,0.066712557
cantho_haugiang_soctrang,1994,28861,0.6877,0.041425474,0.077976727
cantho_haugiang_soctrang,1995,25088,0.7565792,0.047471959,0.121782358
cantho_haugiang_soctrang,1996,12448,0.7589541,0.038271817,0.167511643
cantho_haugiang_soctrang,1997,7121,0.7335329,,0.213240929
cantho_haugiang_soctrang,1998,4169,0.7251378,,0.194736918
cantho_haugiang_soctrang,1999,3230,0.7296762,,0.250260606
cantho_haugiang_soctrang,2000,2349,0.8069282,,0.248578786
cantho_haugiang_soctrang,2001,1772,0.7779008,0.095655062,0.232976992
cantho_haugiang_soctrang,2002,1268,0.7808974,0.086778952,0.350205773
cantho_haugiang_soctrang,2003,1203,0.7096898,0.083362784,0.70306209
cantho_haugiang_soctrang,2004,886,0.7179427,0.100856422,0.954836204
cantho_haugiang_soctrang,2005,666,0.7097281,0.081729862,0.987436465
cantho_haugiang_soctrang,2006,643,0.7014826,0.08416124,0.996796063
cantho_haugiang_soctrang,2007,538,0.6966711,0.074946639,0.968326638
cantho_haugiang_soctrang,2008,508,0.6233,0.08133186,0.95801206
cantho_haugiang_soctrang,2009,689,0.6187,0.074121585,0.947697482
cantho_haugiang_soctrang,2010,556,0.6141,0.07588192,0.921051382
dong_nai,1991,43995,0.7758,0.064286425,
dong_nai,1992,47678,0.7756,0.073043796,0.094483576
dong_nai,1993,28475,0.7754,0.143764303,0.097573375
dong_nai,1994,21163,0.7752,0.245291224,0.100663174
dong_nai,1995,13631,0.6922922,0.250856434,0.168610553
dong_nai,1996,10877,0.6946074,0.278122513,0.152894244
dong_nai,1997,6617,0.6830807,0.258690221,0.137177935
dong_nai,1998,4774,0.6774161,0.324403155,0.231803415
dong_nai,1999,7218,0.6875372,0.304561917,0.238972083
dong_nai,2000,6429,0.7096758,0.139375723,0.164277293
dong_nai,2001,4658,0.68151,0.356743448,0.120885568
dong_nai,2002,2430,0.6723699,0.343380939,0.289194608
dong_nai,2003,1944,0.6926376,0.197039027,0.263619548
dong_nai,2004,1357,0.695797,0.156421549,0.530405181
dong_nai,2005,842,0.6838368,0.132294473,0.760429008
dong_nai,2006,713,0.6881912,0.128478121,0.753616034
dong_nai,2007,461,0.6850941,0.138065967,0.790967529
dong_nai,2008,572,0.7724,0.134608687,0.783643104
dong_nai,2009,464,0.7722,0.119083277,0.776318678
dong_nai,2010,415,0.772,0.114479054,0.906177057
dong_thap,1991,1321,0.7749,,
dong_thap,1992,895,0.7737,0.037255611,0.077441968
dong_thap,1993,2745,0.7725,0.021142315,0.092378023
dong_thap,1994,3563,0.7713,0.041642032,0.107314079
dong_thap,1995,2946,0.8405439,0.010168341,0.087482073
dong_thap,1996,2998,0.8430875,0.109305703,0.150742771
dong_thap,1997,969,0.8352171,,0.214003469
dong_thap,1998,594,0.8317053,,0.182973343
dong_thap,1999,505,0.8329496,,0.159687302
dong_thap,2000,362,0.8603195,,0.117120152
dong_thap,2001,223,0.8512054,0.075158212,0.156273924
dong_thap,2002,117,0.8439699,0.056045962,0.652029477
dong_thap,2003,173,0.8531045,0.036933712,0.682137296
dong_thap,2004,119,0.8514299,0.024747318,0.712245115
dong_thap,2005,46,0.8246775,0.009493254,0.900887575
dong_thap,2006,37,0.8223373,0.00995973,0.900887575
dong_thap,2007,37,0.8157594,0.010007922,0.819071309
dong_thap,2008,67,0.7545,0.010847961, 
dong_thap,2009,54,0.7533,0.010842758,
dong_thap,2010,45,0.7521,0.010231644,
kien_giang,1991,8239,0.7549,0.004438505,
kien_giang,1992,10153,0.7498,0.010032562,0.073810393
kien_giang,1993,9494,0.7447,0.114786215,0.085042558
kien_giang,1994,2217,0.7396,0.116161786,0.096274722
kien_giang,1995,6485,0.7969417,0.090336136,0.082540274
kien_giang,1996,6846,0.8009245,0.147066598,0.135091099
kien_giang,1997,3460,0.8183358,0.116028322,0.187641923
kien_giang,1998,2826,0.769159,0.170751033,0.298223336
kien_giang,1999,1872,0.782487,0.105256564,0.255957016
kien_giang,2000,1608,0.7902837,0.081470824,0.37767107
kien_giang,2001,1500,0.7650431,0.16218142,0.208458988
kien_giang,2002,581,0.7561606,0.157944791,0.094502015
kien_giang,2003,488,0.7778435,0.165198043,0.133184438
kien_giang,2004,686,0.7751914,0.156463218,0.503069753
kien_giang,2005,283,0.7549715,0.151858008,0.586965842
kien_giang,2006,166,0.7412597,0.143438932,0.682456407
kien_giang,2007,60,0.739496,0.134479754,0.830751027
kien_giang,2008,98,0.6682,0.122177429,0.696281279
kien_giang,2009,57,0.6631,0.112808418,0.561811531
kien_giang,2010,31,0.658,0.097766827,0.661155291
lam_dong,1991,20162,0.7275,0.249174768,
lam_dong,1992,58449,0.721,0.336709808,0.097312473
lam_dong,1993,80622,0.7145,0.461168965,0.145645376
lam_dong,1994,50075,0.708,0.783565539,0.19397828
lam_dong,1995,42752,0.6725853,0.523512134,0.195095312
lam_dong,1996,29348,0.6516163,0.469892994,0.193155356
lam_dong,1997,18239,0.6825714,0.500349322,0.191215399
lam_dong,1998,10030,0.6957031,0.486555438,0.317661721
lam_dong,1999,13642,0.7200562,0.307490926,0.32877676
